Entry ID,Word,Definition
1,gryphon,winged monster with the head of an eagle and the body of a lion
2,dormouse,small furry-tailed squirrel-like Old World rodent that becomes torpid in cold weather
3,uglify,make ugly
4,hatter,someone who makes and sells hats
5,Caterpillar,a large tracked vehicle that is propelled by two endless metal belts; frequently used for moving earth in construction and farm work
6,kid glove,a glove made of fine soft leather
7,knave,a deceitful and unreliable scoundrel
8,croquet,a game in which players hit balls through a series of hoops
9,grumble,a complaint uttered in a low and indistinct tone
10,Duchess,a woman who is a member of a royal family
11,Mock Turtle,a calf's head and feet prepared as food
12,caucus,a closed political meeting
13,solemn,characterized by a grave and sedate bearing
14,pity,a feeling of sympathy and sorrow for the misfortunes of others
15,curtsy,bending the knees in a gesture of respect
16,fan,a device for creating a current of air by movement of a thin piece of material
17,cucumber,a cylindrical fruit with a green rind and white flesh
18,lobster,large marine crustacean having a long body and a pair of large claws
19,shiver,shake with or as if with cold
20,shudder,"tremble convulsively, as from fear or excitement"
21,mustard,a pungent yellow or brown paste
22,comfit,"a candy consisting of a whole piece of fruit, nut, or seed coated with sugar"
23,solicit,appeal or make a request for something
24,tureen,large deep serving dish with a cover
25,jury box,a box in a courtroom for the jurors
26,stout,having a large girth in the body
27,gloom,a state of depression or despondency
28,waistcoat,a man's sleeveless garment worn underneath a coat
29,eager,characterized by energetic intensity of interest or desire
30,recollection,the ability to recall past occurrences
31,pounce,move down on as if in an attack
32,treacle,"a thick, sweet, dark syrup made from sugar"
33,saucer,a small shallow dish for holding a teacup
34,uncomfortable,causing or feeling slight pain or physical distress
35,wriggle,to move in a twisting or contorted motion
36,reprove,rebuke formally
37,crouch,bend one's back forward from the waist on down
38,indignation,a feeling of righteous anger
39,shriek,utter a high-pitched cry
40,contempt,lack of respect accompanied by a feeling of intense dislike
41,crescent,any shape resembling the curved shape of the moon in its first or last quarters
42,chimney,a vertical flue that provides a path for escaping smoke and gases
43,pounce,move down on as if in an attack
44,furious,marked by extreme anger
45,gasp,"breathe noisily, as when making an effort"
46,scramble,"climb awkwardly, as if by scrambling"
47,heap,an informal expression for a large amount of something
48,parade,a preposterous or extravagant display
49,pardon,the act of excusing a mistake or offense
50,reverently,with feelings of profound respect or veneration
51,dread,fearful expectation or apprehension
52,sultry,characterized by or suggesting intense emotion
53,fountain,a structure from which an artificially produced jet of water arises
54,shrill,having a high-pitched and sharp tone
55,queer,unusual or different from the usual
56,astonish,fill with wonder and surprise
57,whisper,speak softly or in a low voice
58,curious,eager to investigate and learn or learn more
59,peep,a secret look
60,scramble,"climb awkwardly, as if by scrambling"
61,heap,an informal expression for a large amount of something
62,parade,a preposterous or extravagant display
63,pardon,the act of excusing a mistake or offense
